model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_1_20260725_95621_model_23,152.109044244844,23137.161341079907,118.88042916813548,0.1597757217334942,23137.161341079907
GBM_grid_1_AutoML_1_20260725_95621_model_7,152.12572084232414,23142.23494179673,119.11031941944944,0.160137854689543,23142.23494179673
GBM_grid_1_AutoML_1_20260725_95621_model_32,152.17597184136218,23157.52640586306,119.30080748052546,0.1600558097769238,23157.52640586306
GBM_4_AutoML_1_20260725_95621,152.42982687028788,23234.85211970593,119.2510331032276,0.1603156465133228,23234.85211970593
GBM_grid_1_AutoML_1_20260725_95621_model_42,152.58228617915495,23281.35405565753,119.33436478310988,0.1602567153428065,23281.35405565753
GBM_grid_1_AutoML_1_20260725_95621_model_10,152.6627236970343,23305.90720659704,119.35087761574054,0.1602080251896818,23305.90720659704
GBM_grid_1_AutoML_1_20260725_95621_model_36,152.6749693825071,23309.646275949483,119.38036865588718,0.1606401371985607,23309.646275949483
GBM_grid_1_AutoML_1_20260725_95621_model_30,152.7840919101352,23342.978740804643,119.38195839742056,0.1606162421967833,23342.978740804643
GBM_grid_1_AutoML_1_20260725_95621_model_41,152.87807173277466,23371.70481673139,119.66955118583648,0.1608370725861472,23371.70481673139
GBM_grid_1_AutoML_1_20260725_95621_model_17,152.97315921954808,23400.78744160921,119.76871080705212,0.1610067805262679,23400.78744160921
GBM_grid_1_AutoML_1_20260725_95621_model_2,153.25915911835136,23488.36985366414,119.7735006484316,0.1610017096405399,23488.36985366414
GBM_grid_1_AutoML_1_20260725_95621_model_20,153.59045817752315,23590.028843181484,120.61413598124996,0.1616091193335508,23590.028843181484
GBM_grid_1_AutoML_1_20260725_95621_model_8,153.96222873627016,23704.36787743957,120.5966913110488,0.1622653918064066,23704.36787743957
GBM_grid_1_AutoML_1_20260725_95621_model_25,154.15529422544412,23763.85473773325,120.66005250369398,0.1622828601621948,23763.85473773325
GBM_grid_1_AutoML_1_20260725_95621_model_4,154.4231057200772,23846.49558023413,120.97878036176928,0.1624169396238859,23846.49558023413
GBM_grid_1_AutoML_1_20260725_95621_model_9,154.73456236397664,23942.78478997137,121.10962124033628,0.1626072500742019,23942.78478997137
GBM_grid_1_AutoML_1_20260725_95621_model_11,154.84490077021124,23976.94329453656,121.17378199290486,0.1627332911527481,23976.94329453656
GBM_grid_1_AutoML_1_20260725_95621_model_34,157.33623220268777,24754.689963738085,123.26871213709585,0.1655101386825588,24754.689963738085
GBM_grid_1_AutoML_1_20260725_95621_model_3,157.955034005912,24949.79276780882,123.58825626919057,0.1665955022410246,24949.79276780882
GLM_1_AutoML_1_20260725_95621,158.19605702896564,25025.99245951175,124.11047445252872,0.1663444943331636,25025.99245951175
DeepLearning_grid_1_AutoML_1_20260725_95621_model_1,159.31199201546735,25380.31079993634,125.37918596046734,0.168152981723523,25380.31079993634
DeepLearning_1_AutoML_1_20260725_95621,161.40500802374015,26051.576615143626,127.50590187874788,0.1754526683196096,26051.576615143626
DRF_1_AutoML_1_20260725_95621,161.93588338293222,26223.230327010624,126.41339115972832,0.1688867657553874,26223.230327010624
GBM_grid_1_AutoML_1_20260725_95621_model_24,164.34773241656157,27010.177150465726,128.47304426683863,0.1717258474392939,27010.177150465726
DeepLearning_grid_2_AutoML_1_20260725_95621_model_1,181.21799025268325,32839.9599912216,142.91700660809803,0.1956033329840693,32839.9599912216
DeepLearning_grid_1_AutoML_1_20260725_95621_model_2,183.45958592859915,33657.41966909305,144.6945486776614,0.1973734532496016,33657.41966909305
DeepLearning_grid_2_AutoML_1_20260725_95621_model_2,185.2378396793229,34313.05724906252,146.67831004311455,0.1970831408753441,34313.05724906252
XRT_1_AutoML_1_20260725_95621,186.8526844762777,34913.92569599138,151.0089049285843,0.2068954507200569,34913.92569599138
DeepLearning_grid_3_AutoML_1_20260725_95621_model_1,191.0074205005836,36483.83468628676,153.17045417756424,0.2094507151820124,36483.83468628676
DeepLearning_grid_1_AutoML_1_20260725_95621_model_3,199.65660849127977,39862.76131424015,158.37784547639734,0.2115752715832996,39862.76131424015
DeepLearning_grid_1_AutoML_1_20260725_95621_model_4,202.98791788528595,41204.09480740359,159.3891822540748,0.2225126692806097,41204.09480740359
